,Library,Well,Hours,Media,Mapped.Fragments,Pseudotime,State
T0_CT_D02,SCC10013_D02,D02,0,GM,3104750,24.52745359318491,1
T0_CT_D03,SCC10013_D03,D03,0,GM,1187743,15.165857926477242,1
T0_CT_D05,SCC10013_D05,D05,0,GM,2337353,31.142632118148242,1
T0_CT_D06,SCC10013_D06,D06,0,GM,2231260,17.47195432697332,1
T0_CT_D07,SCC10013_D07,D07,0,GM,2057178,23.662056922941797,1
T0_CT_D08,SCC10013_D08,D08,0,GM,2558819,15.408767379106196,1
T0_CT_D09,SCC10013_D09,D09,0,GM,1383564,34.97281945595307,1
T0_CT_D11,SCC10013_D11,D11,0,GM,2281706,33.87724534014875,1
T0_CT_D12,SCC10013_D12,D12,0,GM,2037548,8.453722553938592,1
T0_CT_E01,SCC10013_E01,E01,0,GM,2279324,16.206511138988297,1
T0_CT_E03,SCC10013_E03,E03,0,GM,2561208,25.970942793560166,1
T0_CT_E04,SCC10013_E04,E04,0,GM,2236711,33.693248002387364,1
T0_CT_E05,SCC10013_E05,E05,0,GM,3518598,43.77380142146535,2
T0_CT_E06,SCC10013_E06,E06,0,GM,2870788,18.72914661986012,1
T0_CT_E07,SCC10013_E07,E07,0,GM,2779571,17.250597417065872,1
T0_CT_E08,SCC10013_E08,E08,0,GM,2458409,14.092277180994529,1
T0_CT_E09,SCC10013_E09,E09,0,GM,2596721,18.372849514862246,1
T0_CT_E10,SCC10013_E10,E10,0,GM,3486472,36.54289189863812,1
T0_CT_E11,SCC10013_E11,E11,0,GM,3288396,13.459916285511989,1
T0_CT_E12,SCC10013_E12,E12,0,GM,2368541,19.500205806532783,1
T0_CT_F01,SCC10013_F01,F01,0,GM,3220023,10.606752723027904,1
T0_CT_F02,SCC10013_F02,F02,0,GM,2810639,10.998994403999074,1
T0_CT_F03,SCC10013_F03,F03,0,GM,2257880,11.113923035819994,1
T0_CT_F04,SCC10013_F04,F04,0,GM,3037056,8.018682609036706,1
T0_CT_F05,SCC10013_F05,F05,0,GM,3203393,21.991714512118193,1
T0_CT_F06,SCC10013_F06,F06,0,GM,1355627,17.75024964677872,1
T0_CT_F07,SCC10013_F07,F07,0,GM,1897274,28.770202663037622,1
T0_CT_F09,SCC10013_F09,F09,0,GM,3521784,34.3451690092517,1
T0_CT_F11,SCC10013_F11,F11,0,GM,3848412,20.40108095250887,1
T0_CT_F12,SCC10013_F12,F12,0,GM,3196118,11.812762320754292,1
T0_CT_G01,SCC10013_G01,G01,0,GM,1523601,15.810305815037562,1
T0_CT_G02,SCC10013_G02,G02,0,GM,1392394,31.316022754545298,1
T0_CT_G03,SCC10013_G03,G03,0,GM,2772912,19.399025799628824,1
T0_CT_G04,SCC10013_G04,G04,0,GM,1763364,17.553255859218822,1
T0_CT_G07,SCC10013_G07,G07,0,GM,2289830,14.974291910500591,1
T0_CT_G08,SCC10013_G08,G08,0,GM,2184040,17.921869537154,1
T0_CT_G09,SCC10013_G09,G09,0,GM,2508444,53.71045132811965,2
T0_CT_G11,SCC10013_G11,G11,0,GM,2270042,31.54829920766707,1
T0_CT_H01,SCC10013_H01,H01,0,GM,2298830,40.901783062933944,1
T0_CT_H02,SCC10013_H02,H02,0,GM,1176525,33.30311654115661,1
T0_CT_H04,SCC10013_H04,H04,0,GM,2666478,19.89041846900447,1
T0_CT_H05,SCC10013_H05,H05,0,GM,3108148,39.32922852222437,1
T0_CT_H08,SCC10013_H08,H08,0,GM,2408625,29.896365298200752,1
T0_CT_H09,SCC10013_H09,H09,0,GM,3038027,32.77781946456547,1
T0_CT_H12,SCC10013_H12,H12,0,GM,3577480,31.884626708720432,1
T24_CT_A01,SCC10014_A01,A01,24,DM,2188790,53.425378347981116,2
T24_CT_A03,SCC10014_A03,A03,24,DM,1658811,46.321950109391835,3
T24_CT_A04,SCC10014_A04,A04,24,DM,1832449,30.74426979606152,1
T24_CT_A05,SCC10014_A05,A05,24,DM,3471623,3.4394149047224323,1
T24_CT_A07,SCC10014_A07,A07,24,DM,2780700,44.73676611059306,3
T24_CT_A08,SCC10014_A08,A08,24,DM,1777554,69.97972067118347,2
T24_CT_A09,SCC10014_A09,A09,24,DM,1503801,60.54901838003087,2
T24_CT_A10,SCC10014_A10,A10,24,DM,2380126,57.15484135796194,2
T24_CT_B01,SCC10014_B01,B01,24,DM,2315226,59.10912651293881,2
T24_CT_B02,SCC10014_B02,B02,24,DM,3323706,61.144947096864115,2
T24_CT_B03,SCC10014_B03,B03,24,DM,1648808,44.63749299812206,2
T24_CT_B05,SCC10014_B05,B05,24,DM,2776679,43.35447053962894,3
T24_CT_B06,SCC10014_B06,B06,24,DM,2053943,45.04439887236167,2
T24_CT_B07,SCC10014_B07,B07,24,DM,2679074,74.31268116835219,2
T24_CT_B08,SCC10014_B08,B08,24,DM,2912198,46.657988810107,3
T24_CT_B09,SCC10014_B09,B09,24,DM,2812646,72.30130776277643,2
T24_CT_B11,SCC10014_B11,B11,24,DM,2656668,3.808554304406683,1
T24_CT_C01,SCC10014_C01,C01,24,DM,2552622,71.44710788953203,2
T24_CT_C02,SCC10014_C02,C02,24,DM,3606704,46.161884483720115,3
T24_CT_C03,SCC10014_C03,C03,24,DM,4022675,59.243134654516346,2
T24_CT_C05,SCC10014_C05,C05,24,DM,2803076,40.241537315201164,1
T24_CT_C07,SCC10014_C07,C07,24,DM,1972882,45.245086271733754,2
T24_CT_C08,SCC10014_C08,C08,24,DM,2505036,47.50412141950081,3
T24_CT_C09,SCC10014_C09,C09,24,DM,3771000,47.19726784008647,3
T24_CT_C10,SCC10014_C10,C10,24,DM,1498592,68.30709829968455,2
T24_CT_C11,SCC10014_C11,C11,24,DM,3669300,48.032962167473656,2
T24_CT_C12,SCC10014_C12,C12,24,DM,1959939,42.966484480217424,3
T24_CT_D01,SCC10014_D01,D01,24,DM,3303819,44.173497696252944,3
T24_CT_D02,SCC10014_D02,D02,24,DM,2512214,27.650481779022716,1
T24_CT_D03,SCC10014_D03,D03,24,DM,3186870,40.03409944826038,1
T24_CT_D04,SCC10014_D04,D04,24,DM,2251225,64.87471068506397,2
T24_CT_D05,SCC10014_D05,D05,24,DM,2475783,59.93393271201457,2
T24_CT_D06,SCC10014_D06,D06,24,DM,1523650,59.63749634158683,2
T24_CT_D07,SCC10014_D07,D07,24,DM,2210988,58.98888814415406,2
T24_CT_D08,SCC10014_D08,D08,24,DM,2821036,47.04158387087807,3
T24_CT_D09,SCC10014_D09,D09,24,DM,1965158,46.53281540600053,3
T24_CT_D10,SCC10014_D10,D10,24,DM,2204281,41.32447841583455,1
T24_CT_D11,SCC10014_D11,D11,24,DM,2537657,43.4974503283997,3
T24_CT_E01,SCC10014_E01,E01,24,DM,2231185,62.05069784735723,2
T24_CT_E02,SCC10014_E02,E02,24,DM,3788651,69.46462186835143,2
T24_CT_E04,SCC10014_E04,E04,24,DM,2293525,42.343063446875135,3
T24_CT_E05,SCC10014_E05,E05,24,DM,2815696,74.62181091859183,2
T24_CT_E07,SCC10014_E07,E07,24,DM,2282322,48.37877463288775,2
T24_CT_E09,SCC10014_E09,E09,24,DM,3375345,66.93690220339883,2
T24_CT_E11,SCC10014_E11,E11,24,DM,2993343,57.22819581837156,2
T24_CT_E12,SCC10014_E12,E12,24,DM,4099565,43.39529252198605,3
T24_CT_F01,SCC10014_F01,F01,24,DM,2347661,45.262504023290866,2
T24_CT_F02,SCC10014_F02,F02,24,DM,3398510,40.465029180875995,1
T24_CT_F03,SCC10014_F03,F03,24,DM,4158845,56.59634255518582,2
T24_CT_F04,SCC10014_F04,F04,24,DM,3421771,50.911543815034,2
T24_CT_F05,SCC10014_F05,F05,24,DM,2352969,60.46681347443325,2
T24_CT_F07,SCC10014_F07,F07,24,DM,3838145,54.69445163415061,2
T24_CT_F08,SCC10014_F08,F08,24,DM,3161902,69.72946578892108,2
T24_CT_F09,SCC10014_F09,F09,24,DM,1569367,39.76546642740785,1
T24_CT_F10,SCC10014_F10,F10,24,DM,1904623,47.62543369185224,2
T24_CT_F11,SCC10014_F11,F11,24,DM,2040549,56.444683685297214,2
T24_CT_F12,SCC10014_F12,F12,24,DM,2804473,26.67239686810766,1
T24_CT_G01,SCC10014_G01,G01,24,DM,1815355,41.149031563588466,1
T24_CT_G02,SCC10014_G02,G02,24,DM,2298896,74.96788740395907,2
T24_CT_G03,SCC10014_G03,G03,24,DM,3234764,70.12170773752572,2
T24_CT_G04,SCC10014_G04,G04,24,DM,1694063,43.84980754587311,2
T24_CT_G05,SCC10014_G05,G05,24,DM,2013585,44.8388707072935,3
T24_CT_G06,SCC10014_G06,G06,24,DM,2184941,69.3008974263138,2
T24_CT_G08,SCC10014_G08,G08,24,DM,3259994,63.98669160327925,2
T24_CT_G10,SCC10014_G10,G10,24,DM,1839766,41.60497421032635,1
T24_CT_G11,SCC10014_G11,G11,24,DM,2579187,73.95754562342816,2
T24_CT_G12,SCC10014_G12,G12,24,DM,3622485,58.40074843048715,2
T24_CT_H01,SCC10014_H01,H01,24,DM,1674147,4.184645218929588,1
T24_CT_H02,SCC10014_H02,H02,24,DM,2260849,59.78662857309032,2
T24_CT_H03,SCC10014_H03,H03,24,DM,3758057,42.10907069487485,1
T24_CT_H05,SCC10014_H05,H05,24,DM,2825594,47.94228944488764,2
T24_CT_H07,SCC10014_H07,H07,24,DM,3085294,54.45754311965771,2
T24_CT_H09,SCC10014_H09,H09,24,DM,4112586,62.8374516152241,2
T24_CT_H12,SCC10014_H12,H12,24,DM,2715808,58.970891251950256,2
T48_CT_A01,SCC10015_A01,A01,48,DM,1359414,43.275332401027505,3
T48_CT_A02,SCC10015_A02,A02,48,DM,1730264,42.859289505161456,3
T48_CT_A03,SCC10015_A03,A03,48,DM,2114684,73.26673483804791,2
T48_CT_A04,SCC10015_A04,A04,48,DM,2068361,45.16130852225059,3
T48_CT_A05,SCC10015_A05,A05,48,DM,1351544,48.50276910615166,2
T48_CT_A06,SCC10015_A06,A06,48,DM,1661950,72.43740092873541,2
T48_CT_A07,SCC10015_A07,A07,48,DM,1473218,6.625038532148914,1
T48_CT_A08,SCC10015_A08,A08,48,DM,1589727,45.46133786782644,2
T48_CT_A09,SCC10015_A09,A09,48,DM,1724956,61.937628868641696,2
T48_CT_A10,SCC10015_A10,A10,48,DM,1841457,44.3204855010863,3
T48_CT_A11,SCC10015_A11,A11,48,DM,1069553,42.37653557167424,3
T48_CT_A12,SCC10015_A12,A12,48,DM,2744546,60.947957931772784,2
T48_CT_B01,SCC10015_B01,B01,48,DM,2796898,44.75486771410408,3
T48_CT_B02,SCC10015_B02,B02,48,DM,1906257,42.71319415890843,3
T48_CT_B03,SCC10015_B03,B03,48,DM,1744796,72.54600530447127,2
T48_CT_B04,SCC10015_B04,B04,48,DM,2326299,75.7048944860314,2
T48_CT_B06,SCC10015_B06,B06,48,DM,2040009,45.06637278346719,3
T48_CT_B08,SCC10015_B08,B08,48,DM,1673769,71.2687332922164,2
T48_CT_B10,SCC10015_B10,B10,48,DM,2259636,45.616153508989726,3
T48_CT_B11,SCC10015_B11,B11,48,DM,1406287,43.02622404023128,3
T48_CT_B12,SCC10015_B12,B12,48,DM,2446179,55.55810389038223,2
T48_CT_C01,SCC10015_C01,C01,48,DM,1982341,43.089798050602546,3
T48_CT_C02,SCC10015_C02,C02,48,DM,2601827,65.39466745518223,2
T48_CT_C03,SCC10015_C03,C03,48,DM,2468082,42.5166335126607,3
T48_CT_C04,SCC10015_C04,C04,48,DM,2686539,74.4776667565173,2
T48_CT_C05,SCC10015_C05,C05,48,DM,1921824,51.001780324169076,2
T48_CT_C06,SCC10015_C06,C06,48,DM,1613732,47.03159595441732,2
T48_CT_C07,SCC10015_C07,C07,48,DM,1746314,56.22748238379528,2
T48_CT_C09,SCC10015_C09,C09,48,DM,1589459,27.940590419668048,1
T48_CT_C10,SCC10015_C10,C10,48,DM,2196778,70.68557378748243,2
T48_CT_C11,SCC10015_C11,C11,48,DM,2639816,45.51970252330652,2
T48_CT_D01,SCC10015_D01,D01,48,DM,2182603,46.46506012711132,2
T48_CT_D02,SCC10015_D02,D02,48,DM,3139829,49.57101597361314,2
T48_CT_D03,SCC10015_D03,D03,48,DM,2593666,65.66994518592064,2
T48_CT_D04,SCC10015_D04,D04,48,DM,3263677,48.19858929566444,2
T48_CT_D06,SCC10015_D06,D06,48,DM,1255378,41.97495047781707,1
T48_CT_D07,SCC10015_D07,D07,48,DM,1730457,42.89673149361062,3
T48_CT_D08,SCC10015_D08,D08,48,DM,2488024,61.18739338733634,2
T48_CT_D09,SCC10015_D09,D09,48,DM,2681880,45.84683597108506,2
T48_CT_D10,SCC10015_D10,D10,48,DM,3453497,55.733427827103775,2
T48_CT_D11,SCC10015_D11,D11,48,DM,1888293,30.372802018823958,1
T48_CT_D12,SCC10015_D12,D12,48,DM,2718262,75.81912186992304,2
T48_CT_E01,SCC10015_E01,E01,48,DM,1922966,50.269447679313075,2
T48_CT_E02,SCC10015_E02,E02,48,DM,2263188,56.18430976356889,2
T48_CT_E03,SCC10015_E03,E03,48,DM,1909616,53.57891941601249,2
T48_CT_E04,SCC10015_E04,E04,48,DM,2027710,56.07613087414442,2
T48_CT_E05,SCC10015_E05,E05,48,DM,2151581,46.09927871365093,2
T48_CT_E06,SCC10015_E06,E06,48,DM,3087037,76.6541594629283,2
T48_CT_E07,SCC10015_E07,E07,48,DM,1485919,74.17517015642335,2
T48_CT_E08,SCC10015_E08,E08,48,DM,2291170,46.77698902071374,3
T48_CT_E10,SCC10015_E10,E10,48,DM,1439735,63.05167496456965,2
T48_CT_E11,SCC10015_E11,E11,48,DM,2636987,70.31085035702966,2
T48_CT_E12,SCC10015_E12,E12,48,DM,3095967,5.970078245890661,1
T48_CT_F01,SCC10015_F01,F01,48,DM,3318918,44.65068025211129,3
T48_CT_F02,SCC10015_F02,F02,48,DM,2376768,51.146630394230584,2
T48_CT_F03,SCC10015_F03,F03,48,DM,2345258,50.80631661534043,2
T48_CT_F05,SCC10015_F05,F05,48,DM,4076528,44.97546756018324,2
T48_CT_F07,SCC10015_F07,F07,48,DM,2712372,62.373326590046865,2
T48_CT_F09,SCC10015_F09,F09,48,DM,2643734,42.265480084095664,3
T48_CT_F10,SCC10015_F10,F10,48,DM,2981428,49.23387279664515,2
T48_CT_F11,SCC10015_F11,F11,48,DM,2781779,75.3064422535436,2
T48_CT_G01,SCC10015_G01,G01,48,DM,2272889,64.45878539733545,2
T48_CT_G02,SCC10015_G02,G02,48,DM,1556185,46.38253517529308,3
T48_CT_G03,SCC10015_G03,G03,48,DM,2265075,43.21203322706163,3
T48_CT_G07,SCC10015_G07,G07,48,DM,2163148,45.13024001347452,3
T48_CT_G08,SCC10015_G08,G08,48,DM,2243094,46.63911834992029,2
T48_CT_G09,SCC10015_G09,G09,48,DM,1678699,49.87431157399488,2
T48_CT_G10,SCC10015_G10,G10,48,DM,1634529,0.0,1
T48_CT_G11,SCC10015_G11,G11,48,DM,2575038,50.637608788543105,2
T48_CT_G12,SCC10015_G12,G12,48,DM,2751116,45.339317221623425,3
T48_CT_H01,SCC10015_H01,H01,48,DM,2548368,45.31396718754094,3
T48_CT_H02,SCC10015_H02,H02,48,DM,1195865,54.61954022755845,2
T48_CT_H04,SCC10015_H04,H04,48,DM,4157603,58.84978054831063,2
T48_CT_H05,SCC10015_H05,H05,48,DM,2997779,43.40548668810174,3
T48_CT_H06,SCC10015_H06,H06,48,DM,2182808,42.641855566626504,3
T48_CT_H07,SCC10015_H07,H07,48,DM,3393111,49.667375675866815,2
T48_CT_H08,SCC10015_H08,H08,48,DM,1883404,42.67070737100429,3
T48_CT_H11,SCC10015_H11,H11,48,DM,2385927,55.934705269159636,2
T48_CT_H12,SCC10015_H12,H12,48,DM,3283266,44.62183276688202,3
T72_CT_A01,SCC10023_A01,A01,72,DM,1827060,41.821375767635324,1
T72_CT_A05,SCC10023_A05,A05,72,DM,1526075,43.18545060271151,2
T72_CT_A08,SCC10023_A08,A08,72,DM,1878473,60.70604150005221,2
T72_CT_A09,SCC10023_A09,A09,72,DM,1466094,44.083330529019385,2
T72_CT_A11,SCC10023_A11,A11,72,DM,1816555,44.90887066117569,2
T72_CT_B01,SCC10023_B01,B01,72,DM,2557875,47.379233258382676,3
T72_CT_B02,SCC10023_B02,B02,72,DM,3164991,71.8416143795301,2
T72_CT_B03,SCC10023_B03,B03,72,DM,2747152,54.25111580113248,2
T72_CT_B04,SCC10023_B04,B04,72,DM,2918121,76.49503686543555,2
T72_CT_B05,SCC10023_B05,B05,72,DM,1826364,56.64752283463911,2
T72_CT_B06,SCC10023_B06,B06,72,DM,2383629,75.53915055208061,2
T72_CT_B08,SCC10023_B08,B08,72,DM,2041937,26.33920109966148,1
T72_CT_B09,SCC10023_B09,B09,72,DM,3967707,74.09057963146435,2
T72_CT_B11,SCC10023_B11,B11,72,DM,1908334,62.529545756895565,2
T72_CT_B12,SCC10023_B12,B12,72,DM,1854980,44.75166145946647,2
T72_CT_C04,SCC10023_C04,C04,72,DM,2219810,41.51984782511749,1
T72_CT_C06,SCC10023_C06,C06,72,DM,1621404,60.296443822122676,2
T72_CT_C07,SCC10023_C07,C07,72,DM,1674227,40.66225264186894,1
T72_CT_C09,SCC10023_C09,C09,72,DM,2301797,62.317518515001346,2
T72_CT_C11,SCC10023_C11,C11,72,DM,1167113,5.3749680821247825,1
T72_CT_D01,SCC10023_D01,D01,72,DM,1655813,44.38938703766178,2
T72_CT_D03,SCC10023_D03,D03,72,DM,1793983,68.9400404690834,2
T72_CT_D04,SCC10023_D04,D04,72,DM,1737502,43.37590372337192,2
T72_CT_D05,SCC10023_D05,D05,72,DM,2020404,70.51612911208994,2
T72_CT_D07,SCC10023_D07,D07,72,DM,1876610,65.9281836840068,2
T72_CT_D10,SCC10023_D10,D10,72,DM,1502883,57.091424452018956,2
T72_CT_D11,SCC10023_D11,D11,72,DM,2149410,71.60892954332671,2
T72_CT_E04,SCC10023_E04,E04,72,DM,1673556,50.617791332350976,2
T72_CT_E05,SCC10023_E05,E05,72,DM,2042895,41.814783338086215,1
T72_CT_E07,SCC10023_E07,E07,72,DM,1574343,54.38819090443778,2
T72_CT_F01,SCC10023_F01,F01,72,DM,2893486,46.3375659947286,2
T72_CT_F05,SCC10023_F05,F05,72,DM,3257926,46.90228652254484,3
T72_CT_F07,SCC10023_F07,F07,72,DM,2165197,69.38735535308622,2
T72_CT_F10,SCC10023_F10,F10,72,DM,1216448,41.406604979283635,1
T72_CT_F11,SCC10023_F11,F11,72,DM,1711843,27.159224481573006,1
T72_CT_G03,SCC10023_G03,G03,72,DM,2377935,72.93718466217278,2
T72_CT_G04,SCC10023_G04,G04,72,DM,1144826,67.79025541188659,2
T72_CT_G06,SCC10023_G06,G06,72,DM,2174516,27.385427419681633,1
T72_CT_G08,SCC10023_G08,G08,72,DM,3515865,52.9952240427719,2
T72_CT_G10,SCC10023_G10,G10,72,DM,1696956,42.195371420685525,1
T72_CT_G11,SCC10023_G11,G11,72,DM,2528508,56.969394253423346,2
T72_CT_H01,SCC10023_H01,H01,72,DM,1816497,47.657140729955984,3
T72_CT_H03,SCC10023_H03,H03,72,DM,2263164,44.56904357283099,2
T72_CT_H05,SCC10023_H05,H05,72,DM,2174205,10.192397695220151,1
T72_CT_H08,SCC10023_H08,H08,72,DM,3396303,5.6401003324445504,1
T72_CT_H09,SCC10023_H09,H09,72,DM,2899527,2.4498252588013782,1
T72_CT_H10,SCC10023_H10,H10,72,DM,1812343,56.89410262464804,2
T72_CT_H11,SCC10023_H11,H11,72,DM,2779634,61.77139851484026,2
T72_CT_H12,SCC10023_H12,H12,72,DM,2977019,42.005337019956414,1
